Das Genie einer Nacht	一夜之间的天才	0.34
Die Zuhörer scheinen freundlich applaudiert zu haben, und wahrscheinlich hat es an allerhand höflichen Komplimenten für den anwesenden Autor nicht gefehlt. Aber selbstverständlich hat nicht die leiseste Ahnung die Gäste des Hôtel de Broglie an dem großen Platz von Straßburg überkommen, daß mit unsichtbaren Flügeln eine ewige Melodie sich niedergeschwungen in ihre irdische Gegenwart. Selten begreifen die Zeitgenossen auf den ersten Blick die Größe eines Menschen oder die Größe eines Werkes, und wie wenig sich die Frau Bürgermeisterin jenes erstaunlichen Augenblicks bewußt wurde, beweist sie mit dem Brief an ihren Bruder, in dem sie ein Wunder zu einem gesellschaftlichen Ereignis banalisiert. »Du weißt, daß wir viele Leute im Haus empfangen und man immer etwas erfinden muß, um Abwechslung in die Unterhaltung zu bringen. Und so hat mein Mann die Idee gehabt, irgendein Gelegenheitslied komponieren zu lassen. Der Kapitän vom Ingenieurkorps, Rouget de Lisle, ein liebenswürdiger Dichter und Kompositeur, hat sehr schnell diese Musik eines Kriegsliedes gemacht. Mein Mann, der eine gute Tenorstimme hat, hat das Stück gleich gesungen, das sehr anziehend ist und eine gewisse Eigenart zeigt. Es ist ein besserer Gluck, lebendiger und belebter. Ich für mein Teil habe meine Begabung für Orchestrierung dabei angewandt und arrangierte die Partitur für Klavier und andere Instrumente, so daß ich viel zu arbeiten habe. Das Stück ist bei uns gespielt worden, zur großen Zufriedenheit der ganzen Gesellschaft.«	听众们都友好地鼓了掌，好像这是对在座的作者表示礼貌的恭维所必不可少的。当然，坐落在斯特拉斯堡大广场旁的德·布罗格利饭店里的客人们显然不会有丝毫的预感：一首不朽的歌曲借着它的无形翅膀已飞降到他们所生活的世界。同代人往往很难一眼就看出一个人的伟大或一部作品的伟大。甚至连市长夫人也并未意识到这是一个非常时刻。这一点可以从她给自己兄弟的一封信中得到佐证。她在信中竟把一件奇迹轻描淡写地说成是一件社交界发生的事。她在信中说：“你知道，我们在家里招待了许多人，总得想出点什么主意来换换消遣的花样，所以我丈夫想出了一个主意：让人给一首即兴歌词谱曲，工程部队的鲁热·德·利勒上尉是一位和蔼可亲的诗人兼作曲家，他很快就搞出了一首军歌的音乐，而我的丈夫又是一位优秀的男高音，他即刻就演唱了这首歌，这首歌很有魅力，富有特色，比格鲁克的作品还要好，更生动、更热情。我也尽了我的一份力量，发挥了我写协奏曲的才能，为钢琴和其他乐器的演奏写了总谱，以致使我忙得不亦乐乎。这首歌已经在我们这里演奏过了，社交界认为相当不错。”	
»Zur großen Zufriedenheit der ganzen Gesellschaft« – das scheint uns heute überraschend kühl. Aber der bloß freundliche Eindruck, die bloß laue Zustimmung ist verständlich, denn noch hat sich bei dieser ersten Darbietung die Marseillaise nicht wahrhaft in ihrer Kraft enthüllen können. Die Marseillaise ist kein Vortragsstück für eine behagliche Tenorstimme und nicht bestimmt, in einem kleinbürgerlichen Salon zwischen Romanzen und italienischen Arien mit einer einzelnen Singstimme vorgetragen zu werden. Ein Lied, das aufrauscht zu den hämmernden, federnden, fordernden Takten »Aux armes, citoyens«, wendet sich an eine Masse, eine Menge, und seine wahre Orchestrierung sind klirrende Waffen, schmetternde Fanfaren, marschierende Regimenter. Nicht für Zuhörer, für kühl sitzende und behaglich genießende, war sie gedacht, sondern für Mittäter, Mitkämpfer. Nicht einem einzelnen Sopran, einem Tenor ist sie zugesungen, sondern der tausendkehligen Masse, das vorbildliche Marschlied, Siegeslied, Todeslied, Heimatlied, Nationallied eines ganzen Volkes. Erst Begeisterung, aus der es zuerst geboren ward, wird dem Lied Rougets die begeisternde Gewalt verleihen. Noch hat das Lied nicht gezündet, noch haben in magischer Resonanz nicht die Worte, nicht die Melodie die Seele der Nation erreicht, noch kennt die Armee nicht ihr Marschlied, ihr Siegeslied, noch kennt die Revolution nicht ihren ewigen Päan.	“社交界认为相当不错。”——这句话在我们今天看来，是相当冷淡的，这仅仅是表示一种好的印象和一种不痛不痒的赞许罢了。不过在当时却是完全可以理解的，因为《马赛曲》在那第一次演出时不可能真正显示出它的力量。《马赛曲》不是一支为甜润的男高音而创作的演唱歌曲，它也不适合在小资产阶级的沙龙里夹在浪漫曲和意大利咏叹调之间用与众不同的腔调来演唱。它是一首节拍强烈、激昂和富于战斗性的歌曲。“公民们，武装起来！”——这是面向群众，面向成群结队的人唱的，这首歌的真正协奏曲是叮当作响的武器、嘹亮的军号、齐步前进的团队。这首歌不是为那些冷静地坐在那里欣赏的听众而创作，而是为那些共同行动、共同战斗的人而创作。这首歌既不适合女高音独唱家，也不适合男高音独唱家演唱，它适合成千的群众齐唱。它是一首典型的进行曲、胜利的凯歌、哀悼之歌、祖国的颂歌、全国人民的国歌。因为这首歌正是从全国人民最初的激情中诞生的，是那种激情赋予了鲁热的这首歌的鼓舞力量。只不过当时这首歌还没有引起广泛流传的热潮。它的歌词还没有引起神奇的共鸣，它的旋律还没有进入到全国人民的心坎，军队还不知道自己的这首进行曲和凯歌，革命还不知道自己的这首不朽战歌。	0.5
Auch er selbst, dem über Nacht dieses Wunder geschehen, Rouget de Lisle, ahnt ebensowenig wie die andern, was er traumwandlerisch und von einem treulosen Genius geführt, in jener einen Nacht geschaffen. Er freut sich natürlich herzhaft, der brave, liebenswürdige Dilettant, daß die eingeladenen Gäste kräftig applaudieren, daß man ihn als Autor höflich komplimentiert. Mit der kleinen Eitelkeit eines kleinen Menschen sucht er diesen kleinen Erfolg in seinem kleinen Provinzkreise fleißig auszunützen. Er singt in den Kaffeehäusern seinen Kameraden die neue Melodie vor, er läßt Abschriften herstellen und schickt sie an die Generäle der Rheinarmee. Inzwischen hat auf Befehl des Bürgermeisters und Empfehlung der Militärbehörden das Straßburger Musikkorps das »Kriegslied für die Rheinarmee« einstudiert, und vier Tage später, beim Abmarsch der Truppen, spielt das Musikkorps der Straßburger Nationalgarde auf dem großen Platz den neuen Marsch. In patriotischer Weise erklärt sich auch der Straßburger Verleger bereit, den »Chant de guerre pour l'armée du Rhin« zu drucken, der respektvoll dem General Luckner von seinem militärischen Untergebenen gewidmet wird. Aber nicht ein einziger der Generäle der Rheinarmee denkt daran, die neue Weise beim Vormarsch wirklich spielen oder singen zu lassen, und so scheint, wie alle bisherigen Versuche Rougets, der Salonerfolg des »Allons, enfants de la patrie« ein Eintagserfolg, eine Provinzangelegenheit zu bleiben und als solche vergessen zu werden.	即便是一夜之间奇迹降临到自己身上的人——鲁热·德·利勒也和其他人一样，没有料想到自己在那一天夜里像一个梦游者似的在偶然降临的神明的指引下创造了什么。他一个胆大而可爱的业余作者自然打心眼儿里感到高兴，因为邀请来的客人们在热烈鼓掌，在彬彬有礼地向他这位作者祝贺。他怀着一种小人物的小小虚荣心，想在自己的这个外省的小地方竭力显耀这项小小的成就。他在咖啡馆里为自己的战友们演唱这支新曲，让人抄写复本，分送给莱茵军的将军们。在此期间，斯特拉斯堡的乐团根据市长的命令和军事当局的建议排练了这首《莱茵军战歌》。四天以后，当部队出发时，斯特拉斯堡的国民自卫军的军乐团在大广场上演奏这支新的进行曲。斯特拉斯堡的出版社负责人带着爱国情绪声言，他已准备印行这首《莱茵军战歌》，因为这首战歌是吕克内将军[9]的一位部下怀着敬意奉献给这位将军的。可是，在莱茵军的将军们中间，没有一位将军想在进军时真正演奏或歌唱这首歌，所以看来，“前进，前进，祖国的儿郎！”——这歌声就像鲁热迄今所做的一切努力一样，只不过是那沙龙里一天的成功，它只不过是地方上发生的一件事，而且不久就被人们忘却。	0.52
Aber nie läßt sich die eingeborene Kraft eines Werkes auf die Dauer verbergen oder verschließen. Ein Kunstwerk kann vergessen werden von der Zeit, es kann verboten werden und versargt, immer aber erzwingt sich das Elementare den Sieg über das Ephemere. Einen Monat, zwei Monate hört man nichts vom Kriegslied der Rheinarmee. Die gedruckten und handgeschriebenen Exemplare liegen und wandern herum in gleichgültigen Händen. Aber immer genügt es, wenn ein Werk auch nur einen einzigen Menschen wirklich begeistert, denn jede echte Begeisterung wird selber schöpferisch. Am andern Ende von Frankreich, in Marseille, gibt der Klub der Verfassungsfreunde am 22. Juni ein Bankett für die abmarschierenden Freiwilligen. An langer Tafel sitzen fünfhundert junge, feurige Menschen in ihren neuen Uniformen der Nationalgarde; in ihrem Kreise fiebert genau die gleiche Stimmung wie an dem 25. April in Straßburg, nur noch heißer, hitziger und leidenschaftlicher, dank dem südlichen Temperament der Marseiller, und nicht mehr so eitel siegesgewiß wie in jener ersten Stunde der Kriegserklärung. Denn nicht wie jene Generäle flunkerten, sind die revolutionären französischen Truppen gleich über den Rhein marschiert und überall mit offenen Armen empfangen worden. Im Gegenteil, der Feind ist tief ins französische Land vorgestoßen, die Freiheit ist bedroht, die Sache der Freiheit in Gefahr.	然而，一件作品的固有力量是从来不会被长期埋没或禁锢的。一件艺术作品纵然可能会被时间所遗忘，可能会遭到禁止和被彻底埋葬，但是，富有生命力的东西最终总会战胜没有生命力的东西。人们有一两个月没有听到这首《莱茵军战歌》。歌曲的印刷本和手抄本始终是在一些无关紧要的人手里流传。不过，倘若一件作品能真正激起人的热情，哪怕是激起一个人的热情，那也就够了，因为任何一种真正的热情本身还会激发出创造力。在法国另一端的马赛，宪法之友俱乐部于6月22日为出发的志愿人员举行宴会。长桌旁坐着500名穿着国民自卫军新制服的血气方刚的年轻人，此刻，弥漫在他们中间的情绪如同4月25日的斯特拉斯堡，只是由于马赛人的那种南方气质而变得更热情、更激烈、更冲动，而且也不像宣战的最初一小时那样虚夸自己必胜。因为这些革命的法国士兵同那些高谈阔论的将军们不同，他们是刚从莱茵河那边撤回来的，而且沿途到处受到欢迎。此刻，敌人已深深挺进到法国的领土，自由正受到威胁，自由的事业正处在危险之中。	0.5
Plötzlich, inmitten des Festmahls, schlägt einer – er heißt Mireur und ist ein Medizinstudent von der Universität in Montpellier – an sein Glas und erhebt sich. Alle verstummen und blicken auf ihn. Man erwartet eine Rede und eine Ansprache. Aber statt dessen schwingt der junge Mensch die Rechte empor und stimmt ein Lied an, ein neues Lied, das sie alle nicht kennen und von dem niemand weiß, wie es in seine Hand geraten ist, »Allons, enfants de la patrie«. Und nun zündet der Funke, als wäre er in ein Pulverfaß gefallen. Gefühl und Gefühl, die ewigen Pole, haben sich berührt. Alle diese jungen Menschen, die morgen ausrücken, die für die Freiheit kämpfen wollen und für das Vaterland zu sterben bereit sind, empfinden ihren innersten Willen, ihren ureigensten Gedanken in diesen Worten ausgedrückt; unwiderstehlich reißt der Rhythmus sie auf in eine einhellige, ekstatische Begeisterung. Strophe um Strophe wird bejubelt, noch einmal, noch ein zweites Mal muß das Lied wiederholt werden, und schon ist die Melodie ihr eigen geworden, schon singen sie, erregt aufgesprungen, die Gläser erhoben, den Refrain donnernd mit. »Aux armes, citoyens! Formez vos bataillons!« Neugierig drängen von der Straße Menschen heran, um zu hören, was hier mit solcher Begeisterung gesungen wird, und schon singen sie selber mit; am nächsten Tage ist die Melodie auf tausend und zehntausend Lippen. Ein Neudruck verbreitet sie, und wie die fünfhundert Freiwilligen am 2. Juli abmarschieren, wandert das Lied mit ihnen. Wenn sie müde werden auf der Landstraße, wenn ihr Schritt schlapp wird, braucht nur einer die Hymne anzustimmen, und schon gibt ihr mitreißender, ihr vorwärtsreißender Takt ihnen allen erneuten Schwung. Wenn sie durch ein Dorf marschieren und staunend die Bauern, neugierig die Einwohner sich versammeln, stimmen sie es im Chore an. Es ist ihr Lied geworden, sie haben, ohne es zu wissen, daß es für die Rheinarmee bestimmt war, ohne zu ahnen, von wem und wann es gedichtet war, den Hymnus als den ihres Bataillons, als Bekenntnis ihres Lebens und Sterbens übernommen. Es gehört zu ihnen wie die Fahne, und in leidenschaftlichem Vormarsch wollen sie ihn über die Welt tragen.	宴会进行之际，突然有一个人——他叫米勒，是蒙彼利埃[10]大学医学院的学生——把玻璃杯用力往桌子上一放，站起身来。所有的人顿时安静下来，眼望着他。大家以为他要讲话或者致辞。然而，这个年轻人却没有讲话，而是挥动着右手，唱起一首新的歌。这首歌大家都没有听到过，而且谁也不知道这首歌是怎么到他手里的。“前进，前进，祖国的儿郎！”此时此刻，这歌声犹如电火花插进了火药桶。情绪与感受，宛若正负两极接触在一起，产生了这火花。所有这些明天出发的年轻人，他们要去为自由而战，准备为祖国献身，他们觉得这些歌词表达了他们内心最深的愿望，表达了他们最根本的想法。歌声的节奏使他们不由自主地产生了一种共同的激奋。每一段歌词都受到欢呼，这首歌不得不唱了一遍又一遍。曲调已经变成了他们自己的旋律，他们激动地站起身来，高举玻璃杯，雷鸣般地一起唱着副歌：“公民们，武装起来！公民们，投入战斗！”街上的人好奇地涌来，想听一听这里如此热烈地唱些什么。最后他们自己也跟着一起歌唱；第二天，成千上万的人都在哼着这首歌。他们散发新印的歌片，而当7月2日那500名义勇军战士出发时，这首歌也就随着他们不胫而走了。当他们在公路上感到疲劳时，当他们的脚步变得软弱无力时，只要有一个人带头唱起这首圣歌，它的动人的节拍就会赋予他们以新的力量。当他们行军穿过一座村庄时，唱起这首歌，就会使村民们惊讶，村民们好奇地聚集在一起，跟着他们合唱这首歌。这首歌已经成了他们的歌。他们根本不知道，这首歌原本是为莱茵军而作的，他们也不知道这首歌是谁写的和什么时候写的，他们把这首圣歌看做是他们自己营队的圣歌，看做是他们生和死的信条。这首歌就像那面军旗一样，是属于他们的，他们要在斗志昂扬的进军中把这首歌传遍世界。	0.29
Der erste große Sieg der Marseillaise – denn so wird die Hymne Rougets bald sich nennen – ist Paris. Am 30. Juni marschiert das Bataillon durch die Faubourgs ein, die Fahne voran und das Lied. Tausende und Zehntausende stehen und warten in den Straßen, um sie festlich zu empfangen, und wie die Marseiller nun anrücken, fünfhundert Männer, gleichsam aus einer Kehle zum Taktschritt das Lied singend und immer wieder singend, horcht die Menge auf. Was ist das für eine herrliche, hinreißende Hymne, welche die Marseiller da singen? Was für ein Fanfarenruf dies, der in alle Herzen fährt, begleitet vom prasselnden Trommelschlag, dies »Aux armes, citoyens!« Zwei Stunden später, drei Stunden später, und schon klingt der Refrain in allen Gassen wieder. Vergessen ist das »Ça ira«, vergessen die alten Märsche, die abgebrauchten Couplets: die Revolution hat ihre eigne Stimme erkannt, die Revolution hat ihr Lied gefunden.	《马赛曲》——因为鲁热的这首圣歌不久就得到这样的名称——的第一次伟大胜利是在巴黎。7月30日，当来自马赛的营队从郊区进入巴黎时，就是以军旗和这首歌为前导的。成千上万的人已站在街头等待，准备隆重地迎接他们。现在，当马赛人——500名男子一遍又一遍地唱着这首歌，迈着同口中唱的歌曲同样节奏的步伐愈走愈近时，所有的人都在悉心谛听，马赛人唱的是一支什么美妙动听的圣歌？伴随着点点鼓声，它像一阵号角，激动着所有人的心弦：“公民们，武装起来！”两三个小时以后，副歌已在所有的大街小巷回响。那首《前进吧！》的歌已被人忘却，旧的进行曲、那些唱烂了的旧歌曲均已被人抛到九霄云外；因为革命找到了自己所需要的声音，革命找到了它自己的歌。	0.44
Lawinenhaft wird nun die Verbreitung, unaufhaltsam der Siegeslauf. Auf den Banketten wird die Hymne gesungen, in den Theatern und Klubs, dann sogar in den Kirchen nach dem Tedeum und bald anstatt des Tedeum. In einem, in zwei Monaten ist die Marseillaise das Lied des Volkes geworden und der ganzen Armee. Servan, der erste republikanische Kriegsminister, erkennt mit klugem Blick die tonische, die exaltierende Kraft eines so einzigartigen nationalen Schlachtgesanges. In eiliger Ordre befiehlt er, daß hunderttausend Exemplare an alle Kommandos überstellt werden sollen, und in zwei oder drei Nächten ist das Lied des Unbekannten mehr verbreitet als alle Werke Molières, Racines und Voltaires. Kein Fest, das nicht mit der Marseillaise schließt, keine Schlacht, wo nicht vorerst die Regimentsmusiker das Kriegslied der Freiheit intonieren. Bei Jemappes und Nerwinden ordnen sich die Regimenter im Chorgesang zum entscheidenden Sturme, und die feindlichen Generäle, die nur mit dem alten Rezept der verdoppelten Branntweinration ihre Soldaten stimulieren können, sehen erschreckt, daß sie nichts der explosiven Kraft dieser »fürchterlichen« Hymne entgegenzusetzen haben, wenn sie, gleichzeitig von Tausenden und Tausenden gesungen, wie eine klingende, klirrende Welle gegen ihre eigenen Reihen stürmt. Über allen Schlachten Frankreichs schwebt nun, Unzählige mitreißend in Begeisterung und Tod, die Marseillaise, wie Nike, die geflügelte Göttin des Sieges.	于是，这歌声像雪崩似的扩散开去，势不可当。在宴会上、在剧院和俱乐部里都在唱着这首圣歌，后来甚至在教堂里当唱完感恩赞美诗后也唱起这首歌来，不久它竟取代了感恩赞美诗。一两个月以后，《马赛曲》已成为全民之歌、全军之歌。共和国第一任军事部长赛尔旺以智慧的眼光认识到这样一首无与伦比的民族战歌所具有的振奋人心、鼓舞斗志的力量。于是他下了一道紧急命令：印刷10万份歌片，发到军中所有的小队。这位当时还不知名的作者所创作的歌曲就这样在两三夜之间发行得比莫里哀、拉辛[11]、伏尔泰的所有作品还要多。没有一个节日不是用《马赛曲》来结束的，没有一次战斗不是先由团队的乐队来演奏这首自由的战歌的。当许多团队在热马普和内尔万地方发起决定性的冲锋时，就是齐声高唱着这首战歌而进行编队的。而那些只会用双份的犒酒这种老办法去刺激自己士兵的敌军将领们则惊奇地发现，当这些成千上万的士兵同时高唱着这首军歌，像咆哮的海浪向他们的队形冲去时，简直无法阻挡这首“可怕”的圣歌所产生的爆炸力量。眼下，《马赛曲》就像长着双翅的胜利女神奈基，在法国的所有战场上翱翔，给无数的人带来热情和死亡。	0.45
Unterdessen sitzt in der kleinen Garnison von Hüningen ein höchst unbekannter Hauptmann des Festungswesens, Rouget, und entwirft brav Wälle und Verschanzungen. Vielleicht hat er schon das »Kriegslied der Rheinarmee« vergessen, das er in jener verschollenen Nacht des 26. April 1792 geschaffen, und wagt gar nicht zu ahnen, wenn er in den Gazetten von jener andern Hymne, jenem andern Kriegslied liest, das im Sturm Paris erobert, daß dieses sieghafte »Lied der Marseiller« Wort für Wort und Takt für Takt nichts anderes ist als das in ihm und an ihm geschehene Wunder jener Nacht. Denn grausame Ironie des Schicksals – in alle Himmel rauschend, zu den Sternen brausend, trägt diese Melodie nur einen einzigen Menschen nicht hoch, nämlich den Menschen, der sie ersonnen. Niemand in ganz Frankreich kümmert sich um den Hauptmann Rouget de Lisle, der riesigste Ruhm, den je ein Lied gekannt, bleibt dem Liede, und nicht ein Schatten davon fällt auf seinen Schöpfer Rouget. Sein Name wird nicht mitgedruckt auf den Texten, und er selbst bliebe völlig unbeachtet bei den Herren der Stunde, brächte er sich nicht selbst in ärgerliche Erinnerung. Denn – geniale Paradoxie, wie sie nur die Geschichte erfinden kann – der Schöpfer der Revolutionshymne ist kein Revolutionär; im Gegenteil: der wie kein anderer die Revolution durch sein unsterbliches Lied fortgetrieben, möchte sie mit allen Kräften nun wieder zurückdämmen. Als die Marseiller und der Pariser Pöbel – seinen Gesang auf den Lippen – die Tuilerien stürmen und man den König absetzt, hat Rouget de Lisle genug von der Revolution. Er weigert sich, den Eid auf die Republik zu leisten, und quittiert lieber seinen Dienst, als den Jakobinern zu dienen. Das Wort von der »liberté chérie«, der geliebten Freiheit, in seiner Hymne ist diesem aufrechten Manne kein leeres Wort: er verabscheut die neuen Tyrannen und Despoten im Konvent nicht minder, als er die gekrönten und gesalbten jenseits der Grenzen haßte. Offen macht er seinem Unmut gegen den Wohlfahrtsausschuß Luft, als sein Freund, der Bürgermeister Dietrich, der Pate der Marseillaise, als der General Luckner, dem sie gewidmet war, als alle die Offiziere und Adeligen, die an jenem Abend ihre ersten Zuhörer waren, auf die Guillotine geschleppt werden, und bald ereignet sich die groteske Situation, daß der Dichter der Revolution als Konterrevolutionär gefangengesetzt wird, daß man ihm, und gerade ihm den Prozeß macht mit der Anschuldigung, sein Vaterland verraten zu haben. Nur der 9. Thermidor, der mit dem Sturz Robespierres die Gefängnisse öffnet, hat der Französischen Revolution die Schmach erspart, den Dichter ihres unsterblichsten Liedes dem »nationalen Rasiermesser« überantwortet zu haben.	其时，鲁热——一个名不见经传、修筑工事的上尉却坐在许宁根的一个小小驻地的营房里，一本正经地画着防御工事的图纸。也许他早已把自己在1792年4月26日那个业已消逝的夜里创作的这首《莱茵军战歌》忘却了，而当他在报纸上看到那首像风暴似的征服了巴黎的战歌——那首圣歌时，他简直不敢去想，这首充满必胜信心的“马赛人的歌”中的一词一句和每一个节拍只不过是那天夜里在他心中和身边发生的奇迹而已。因为命运竟是这样无情地嘲弄人：虽然乐曲响彻云霄，缭绕天际，但它却没有把任何个人——即没有把创作出这首乐曲的人捧上天。全法国没有一个人关心这位鲁热·德·利勒上尉；这首歌也像每一首歌一样，所赢得的巨大荣誉依然属于歌曲本身，连一点荣誉的影子都没有落到它的作者鲁热身上。在印歌词的时候，没有把他的名字一起印上。他自己也完全习惯于不被人敬重，并且不为此而懊恼。因为这位革命圣歌的作者自己却不是一个革命者——这种奇怪的现象也只有历史本身才会创造。他虽然曾用自己的这首不朽歌曲推动过革命，而现在，他却要竭尽全力来重新阻止这场革命。当巴黎的暴动民众唱着他的歌，猛攻杜伊勒里宫[12]和推翻国王的时候，鲁热·德·利勒对革命已十分厌倦了，他拒绝为共和国效忠，他宁愿辞去自己的职务，也不愿为雅各布宾派服务。在他的那首圣歌中关于“渴望珍贵的自由”那一句歌词对这位耿直的人来讲并不是一句空话。他对法国国民公会里的新的暴君和独裁者们的憎恶并不亚于他对国界那边的国王和皇帝们所怀的仇恨。当他的朋友——对《马赛曲》的诞生起过重大作用的迪特里希市长、吕克内将军——创作《马赛曲》就是为了呈献给他的——以及所有那天晚上作为《马赛曲》的第一批听众的军官们和贵族们，一个一个被送上断头台的时候，他公开向罗伯斯庇尔的福利委员会[13]发泄了自己的不满。不久，发生了更为荒唐的事：这位革命的诗人自己也被作为反革命而遭逮捕，被控犯有叛国罪。只是到了热月[14]9日罗伯斯庇尔被推翻，监狱的大门被打开，才使法国革命免却莫大的耻辱：把这次革命的一首不朽歌曲的作者送交“国民的刺刀”。	0.42
Immerhin, es wäre ein heldischer Tod gewesen und nicht ein so klägliches Verdämmern im Dunkel, wie es Rouget verhängt ist. Denn um mehr als vierzig Jahre, um Tausende und Tausende von Tagen überlebt der unglückliche Rouget den einzigen wirklich schöpferischen Tag seines Lebens. Man hat ihm die Uniform ausgezogen, man hat ihm die Pension gestrichen; die Gedichte, die Opern, die Texte, die er schreibt, werden nicht gedruckt, nicht gespielt. Das Schicksal verzeiht es dem Dilettanten nicht, sich unberufen in die Reihe der Unsterblichen eingedrängt zu haben. Mit allerhand kleinen und nicht immer sauberen Geschäften fristet der kleine Mann sein kleines Leben. Vergebens versuchen aus Mitleid Carnot und später Bonaparte, ihm zu helfen. Aber etwas in dem Charakter Rougets ist rettungslos vergiftet und verschroben geworden durch die Grausamkeit jenes Zufalls, der ihn Gott und Genius sein ließ drei Stunden lang und dann verächtlich wieder zurückwarf in die eigene Nichtigkeit. Er zankt und queruliert mit allen Mächten, er schreibt an Bonaparte, der ihm helfen wollte, freche und pathetische Briefe, er rühmt sich öffentlich, bei der Volksabstimmung gegen ihn gestimmt zu haben. Seine Geschäfte verwickeln ihn in dunkle Affären, und wegen eines unbezahlten Wechsels muß er sogar mit dem Schuldgefängnis St. Pelargie Bekanntschaft machen. Unbeliebt an allen Stellen, von Schuldnern gejagt, von der Polizei ständig bespitzelt, verkriecht er sich schließlich irgendwo in der Provinz, und wie aus einem Grabe, abgeschieden und vergessen, lauscht er von dort dem Schicksal seines unsterblichen Liedes; er erlebt es noch, daß die Marseillaise mit den siegreichen Armeen über alle Länder Europas stürmt, dann noch, daß Napoleon, kaum Kaiser geworden, sie als zu revolutionär aus allen Programmen streichen läßt, daß die Bourbonen sie dann gänzlich verbieten. Nur ein Staunen kommt den verbitterten Greis an, wie nach einem Menschenalter die Julirevolution 1830 seine Worte, seine Melodie in alter Kraft auferstehen läßt an den Barrikaden von Paris und der Bürgerkönig Louis Philippe ihm als dem Dichter ein kleines Pensiönchen verleiht. Wie ein Traum scheint es dem Verschollenen, dem Vergessenen, daß man sich seiner überhaupt noch erinnert, aber es ist nur ein kleines Erinnern mehr, und als der Sechsundsiebzigjährige endlich in Choisy-le-Roi 1836 stirbt, nennt und kennt niemand seinen Namen mehr. Abermals muß ein Menschenalter vergehen: erst im Weltkrieg, da die Marseillaise, längst Nationalhymnus geworden, an allen Fronten Frankreichs wieder kriegerisch erklingt, wird angeordnet, daß der Leichnam des kleinen Hauptmanns Rouget an derselben Stelle im Invalidendom bestattet werde wie der des kleinen Leutnants Bonaparte, und so ruht endlich der höchst unberühmte Schöpfer eines ewigen Liedes in der Ruhmeskrypta seines Vaterlandes von der Enttäuschung aus, nichts gewesen zu sein als der Dichter einer einzigen Nacht.	如果当时鲁热真的被处死了，可以说是死得英勇而又壮烈，而不会像他以后生活得那么潦倒、那么不清不白。因为这个不幸的鲁热在他四十余年的生涯中，虽然度过了成千上万的日子，但是只过了一天真正具有创造性的日子。后来，他被赶出了军队，取消了他的退休金，他所写的诗歌、歌剧、歌词均未能出版和演出。这个半瓶子醋曾擅自闯进不朽者的行列，对此，命运没有原谅他。这个小人物后来干过各色各样并非总是干净的小行当，困苦地度过了自己渺小的一生。卡诺[15]和后来的拿破仑曾出于同情想帮助他，但都没有成功。那一次偶然的机缘曾使他当了三小时的神明和天才，然后又轻蔑地把他重新抛到微不足道的渺小地位，这是多么残酷，残酷的命运已使他的性格像中了毒似的，变得无可救药的乖戾，他对所有的当权者都是愤愤不平和满腹牢骚。他给想帮助他的拿破仑写了一些措辞激烈而又十分无礼的信，公开表示他为在全民投票时投了反对拿破仑的一票而引以自豪。他经营的生意把他卷入到一些不光彩的事件中去，甚至为了一张空头支票而不得不进入圣佩拉尔热的债务监狱。他到处不受欢迎，被债主跟踪追击，不断受到警察的侦查，最后终于匿居在外省的某个地方。他已与世隔绝，被人忘却，他在那里像从一座坟墓里窃听着自己那首不朽之歌的命运。他听说《马赛曲》随着战无不胜的军队进入到欧洲的所有国家，然后他又听说拿破仑眼看自己就要当上皇帝而事先把这首过于革命化的《马赛曲》从所有的节目单上取消，一直到他听说波旁王朝的后裔完全禁止了这首歌。只是过了一代人的时间以后，当1830年七月革命爆发时，他写的歌词和他谱的乐曲重又在巴黎的街垒中恢复了旧有的力量，资产阶级国王路易-菲利普[16]把他当做一位诗人而给他一笔小小的养老金。人们还记得他，虽然只是依稀的记忆，但是这个被人忘却的、下落不明的老人却觉得这简直像做梦。当他于1836年以67岁的高龄在舒瓦齐勒罗瓦去世时，已经没有人再叫得出和知道他的名字了。然而，又过了一代人的时间，在第一次世界大战期间，由于《马赛曲》早已成为法国国歌，在法国的所有前线重又响起《马赛曲》的战斗歌声，于是这位小小上尉的遗体被安葬在巴黎荣军院里，同小小的少尉拿破仑的遗体放在同一个地方，这样，这位创作了一首不朽之歌而本人却极不出名的作者终于在他感到失望的祖国的这一块荣誉墓地上长眠，但他只不过是作为仅仅一夜的诗人罢了。	0.52
* * *	* * *	0.0
